CUSTOMER_ID,std_pago_unired,max_pago_unired,avg_pago_unired,pago_unired_mensual,avg_dia_pago_unired,max_dia_pago_unired,min_dia_pago_unired,avg_uso_tarjeta,PAYMENT_MEAN_ID,avg_pago_retail_mensual,max_pago_retail_mensual,std_pago_retail_mensual,SPEND_AMT,DISCOUNT_AMT,GENDER,EDAD,MOBILE_CONTACTABILITY,EMAIL_CONTACTABILITY,GSE,CIVIL_STATUS,bloqueo
38170206,90870.70879551892,330864,305661.0,3973593,2.8431203515386634,2.8431203515386634,2.8431203515386634,0.27555555555555555,1,62474.25,114699,31147.142025976693,749691,127901,MASCULINO,32,1,1,C3,SOLTERO,0
97880186,24994.720672028467,163230,90924.45454545453,1000169,7.071835223166434,8.846759379295422,3.5355339059327378,0.18396226415094336,0,21216.0,23982,3887.6613792870394,63648,6852,FEMENINO,55,1,1,C3,CASADO,0
32599736,27111.06425414584,138929,86722.58333333331,1040671,5.095258498005928,7.718252948137199,0.9574271077563382,0.0,0,56721.5,78414,13501.789925110603,680658,76071,MASCULINO,70,1,0,E,SOLTERO,1
83214884,8026.051333003048,40250,32300.0,96900,4.242640687119285,4.242640687119285,4.242640687119285,0.08974358974358974,1,72067.75,89341,12090.723975428435,288271,14027,FEMENINO,55,1,0,E,VIUDO,0
75513186,52389.705789613115,159918,80027.5,800275,8.83752824397782,9.912113800799503,7.071067811865476,0.3474178403755869,1,66505.90909090909,123678,35072.652532862536,731565,265392,FEMENINO,40,1,1,C3,CASADO,0
65574744,36107.832776849245,154226,94064.25,1128771,9.042625310395405,12.124355652982139,4.527692569068709,0.0,0,36809.375,76005,20318.828945006368,294475,41842,FEMENINO,48,1,0,C3,SOLTERO,0
9737188,18095.99823909228,130256,88216.53846153848,1146815,4.477699113941213,12.82540093294978,2.0943647333651403,0.07169811320754718,0,59885.0,84403,35469.578331296805,179655,22209,MASCULINO,70,1,1,C3,CASADO,0
96940456,51892.52320199155,283674,157599.53846153847,2048794,5.123758502049309,6.0976895773578175,3.1132471299766253,0.10869565217391304,1,65317.0,83016,25030.165840441412,130634,30253,MASCULINO,61,1,1,D,CASADO,0
24110202,28399.79191491737,125664,77628.91666666669,931547,8.11175001712432,9.007933011676828,7.376330822994343,0.8947368421052632,1,71330.91666666669,147707,35137.002962322236,855971,169059,MASCULINO,48,1,0,C3,CASADO,0
31919854,4239.877179824906,72365,61880.33333333334,556923,4.1852526649272965,4.1852526649272965,4.1852526649272965,0.3928571428571429,1,43298.88888888888,77367,28891.21772028848,389690,38235,FEMENINO,49,1,0,C3,SOLTERO,0
27607496,29027.342547392047,172137,94285.18181818182,1037137,1.959580507063103,2.381748784554591,1.5374122295716148,0.06329113924050632,0,32047.25,68737,19350.41704054094,256378,6734,FEMENINO,49,1,1,E,CASADO,0
911576,6166.765981182249,27900,22772.0,91088,14.142135623730953,14.142135623730953,14.142135623730953,0.0,0,25144.66666666667,50025,14244.131432511662,150868,21279,MASCULINO,73,1,0,C3,CASADO,1
616488,46256.41074281155,179977,75226.15384615384,977940,7.140040084260912,10.404326023342406,4.212314060417355,0.08391608391608392,0,13713.75,14916,1252.1023320799302,54855,5393,MASCULINO,53,1,1,C3,CASADO,0
22817986,100746.15320502868,348291,112607.11111111114,1013464,4.624941013645485,8.86942313043338,1.4142135623730951,0.2435897435897436,0,66197.33333333331,140250,45567.981792774925,397184,30561,FEMENINO,51,1,1,C3,CASADO,0
86983224,15768.531182105251,84080,66116.15384615384,859510,2.75811397237155,3.3427896171076075,2.3149458652362385,0.13559322033898305,0,31869.41666666667,49066,13100.130370332085,382433,40309,MASCULINO,85,1,0,D,CASADO,0
47428078,49059.9476938133,183480,77486.41666666669,929837,12.968613907646954,13.901438774457846,11.84422704467093,0.17142857142857146,0,44474.0,69722,21612.260409313967,177896,11789,MASCULINO,45,1,1,C3,CASADO,0
37902136,49745.208525225644,140046,51122.272727272735,562345,2.1776192495555784,3.5023801430836525,0.7071067811865476,0.2558139534883721,1,58609.42857142857,97090,30855.675544147696,410266,54024,FEMENINO,40,1,0,D,CASADO,0
